Dia;  Acum.Mês; Fevereiro; 2009;   12 Meses;  24 Meses; 36 Meses;  PL Médio 12 meses;  Taxa de Adm.(aa);  Data Cotação;  Cota R$;  Data Início
0,02; 0,39;      0,48;     1,34;    5,88;     11,59;     20,62;         29;                5,50%;          27/3/2009;      2,21;      2/8/1993
0,03; 0,78;      0,82;     2,48;    11,09;    22,87;     39,39;         7.773;             1,00%;          27/3/2009;      10,71;     23/8/1995
0,03; 0,77;      0,83;     2,46;    11,04;    22,79;     39,45;         4.430; 	           1,00%;          27/3/2009;      11,13;     23/8/1995
0,04; 1,65;      1,75;     6,76;    13,56;    26,01;     44,07;         180;   	           1,50%;          27/3/2009;      3,53;      20/7/2001
0,03; 0,79;      0,84;     2,52;    11,28;    23,32;     40,26;         5.145; 	           0,80%;          27/3/2009;      3,42;      29/9/2000
0,03; 0,64;      0,71;     2,09;    9,29;     18,96;     31,50;         319;   	           2,50%;          27/3/2009;      1,32;      22/3/2006
0,03; 0,68;      0,74;     2,21;    9,86;     20,22;     34,87;         161;   	           2,00%;          27/3/2009;      1,70;      10/9/2004
0,03; 0,65;      0,72;     2,13;    9,31;     12,04;       -;           3;                 2,00%;          27/3/2009;      1,13;      5/10/2007
0,03; 0,70;      0,75;     2,25;    10,04;    13,64;       -;           35;    	           1,80%;          27/3/2009;      1,14;      5/10/2007

